(name: '& Ration~ of Food'; tval:80; tchar: ','; flags: $00000000; p1: 5000; cost: 30; subval: 307; weight: 10; number: 5; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '0d0'; level: 50), {  1}
(name: '& Piece~ of Elvish Waybread'; tval:80; tchar: ','; flags: $02000020; p1: 8000; cost: 100; subval: 311; weight: 3; number: 2; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '0d0'; level: 50), {  2}
(name: '& Mushroom~ of Restoring'; tval:80; tchar: ','; flags: $001F8040; p1: 1000; cost: 10000; subval: 272; weight: 1; number: 2; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '0d0'; level: 50), {  3}
(name: '& Mushroom~ of Restore Constitution'; tval:80; tchar: ','; flags: $00010000; p1: 1000; cost: 700; subval: 268; weight: 1; number: 2; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '0d0'; level: 50), {  4}
(name: '& Dagger (Main Gauche) (%P2,%P3)'; tval:23; tchar: '|'; flags: $00000000; p1: 0; cost: 25000; subval: 1; weight: 30; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d5'; level: 50), {  5}
(name: '& Bastard Sword (%P2,%P3)'; tval:23; tchar: '|'; flags: $00000000; p1: 0; cost: 35000; subval: 7; weight: 140; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '3d4'; level: 50), {  6}
(name: '& Broadsword (%P2,%P3)'; tval:23; tchar: '|'; flags: $00000000; p1: 0; cost: 25500; subval: 10; weight: 150; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '2d5'; level: 50), {  7}
(name: '& Two Handed Sword (Claymore) (%P2,%P3)'; tval:23; tchar: '|'; flags: $00000000; p1: 0; cost: 77500; subval: 11; weight: 200; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '3d6'; level: 50), {  8}
(name: '& Two Handed Sword (Espadon) (%P2,%P3)'; tval:23; tchar: '|'; flags: $00000000; p1: 0; cost: 67500; subval: 13; weight: 180; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '3d6'; level: 50), {  9}
(name: '& Executioner's Sword (%P2,%P3)'; tval:23; tchar: '|'; flags: $00000000; p1: 0; cost: 85000; subval: 14; weight: 260; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '4d5'; level: 50), { 10}
(name: '& Two Handed Sword (Flamberge) (%P2,%P3)'; tval:23; tchar: '|'; flags: $00000000; p1: 0; cost: 100000; subval: 15; weight: 240; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '4d5'; level: 50), { 11}
(name: '& Longsword (%P2,%P3)'; tval:23; tchar: '|'; flags: $00000000; p1: 0; cost: 30000; subval: 18; weight: 130; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d10'; level: 50), { 12}
(name: '& Two Handed Sword (No-Dachi) (%P2,%P3)'; tval:23; tchar: '|'; flags: $00000000; p1: 0; cost: 67500; subval: 19; weight: 200; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '4d4'; level: 50), { 13}
(name: '& Small Sword (%P2,%P3)'; tval:23; tchar: '|'; flags: $00000000; p1: 0; cost: 4800; subval: 22; weight: 75; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '1d6'; level: 50), { 14}
(name: '& Two Handed Sword (Zweihander) (%P2,%P3)'; tval:23; tchar: '|'; flags: $00000000; p1: 0; cost: 100000; subval: 23; weight: 280; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '4d6'; level: 50), { 15}
(name: '& Battle Axe (Balestarius) (%P2,%P3)'; tval:21; tchar: '\'; flags: $00000000; p1: 0; cost: 50000; subval: 1; weight: 180; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '2d8'; level: 50), { 16}
(name: '& Battle Axe (European) (%P2,%P3)'; tval:21; tchar: '\'; flags: $00000000; p1: 0; cost: 33400; subval: 3; weight: 170; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '3d4'; level: 50), { 17}
(name: '& Broad Axe (%P2,%P3)'; tval:21; tchar: '\'; flags: $00000000; p1: 0; cost: 30400; subval: 4; weight: 160; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '2d6'; level: 50), { 18}
(name: '& Two Handed Great Flail (%P2,%P3)'; tval:21; tchar: '\'; flags: $00000000; p1: 0; cost: 59000; subval: 8; weight: 280; number: 1; tohit: 0; todam: 0; ac: 0; toac: 0; damage: '3d6'; level: 50), { 19}
