{ Warrior }
((sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False)),

{ Mage }
((sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False),
 (sname: ''; slevel: 99; smana: 99; sexp: 0; sfail: 0; learned:  False)),

{ Priest }
((sname: 'Detect Evil'; slevel: 1; smana: 1; sexp: 3; sfail: 15; learned:  False),
 (sname: 'Cure Light Wounds'; slevel: 1; smana: 2; sexp: 4; sfail: 25; learned:  False),
 (sname: 'Bless'; slevel: 1; smana: 2; sexp: 3; sfail: 25; learned:  False),
 (sname: 'Remove Fear'; slevel: 1; smana: 2; sexp: 3; sfail: 25; learned:  False),
 (sname: 'Call Light'; slevel: 3; smana: 2; sexp: 6; sfail: 25; learned:  False),
 (sname: 'Find Traps'; slevel: 3; smana: 3; sexp: 8; sfail: 30; learned:  False),
 (sname: 'Detect Doors/Stairs'; slevel: 3; smana: 3; sexp: 8; sfail: 30; learned:  False),
 (sname: 'Slow Poison'; slevel: 3; smana: 3; sexp: 10; sfail: 27; learned:  False),
